<number of tasks>
65
<cycle time>
326
<station cost>
652
<mated_station cost>
1304
<tool_number>
6
<task times>
1 49
2 49
3 71
4 26
5 42
6 30
7 167
8 91
9 52
10 153
11 68
12 52
13 135
14 54
15 57
16 151
17 39
18 194
19 35
20 119
21 34
22 38
23 104
24 84
25 113
26 72
27 62
28 272
29 89
30 49
31 11
32 45
33 54
34 106
35 132
36 52
37 157
38 109
39 32
40 32
41 52
42 193
43 34
44 34
45 97
46 37
47 25
48 89
49 27
50 50
51 46
52 46
53 55
54 118
55 47
56 164
57 113
58 69
59 30
60 25
61 106
62 23
63 118
64 155
65 65
<task directions>
1 E
2 E
3 E
4 E
5 E
6 E
7 R
8 R
9 L
10 L
11 E
12 E
13 E
14 E
15 E
16 L
17 L
18 R
19 R
20 E
21 E
22 E
23 E
24 E
25 L
26 R
27 R
28 R
29 L
30 L
31 E
32 E
33 E
34 E
35 R
36 E
37 E
38 E
39 L
40 R
41 E
42 E
43 E
44 R
45 L
46 E
47 L
48 L
49 E
50 E
51 R
52 E
53 L
54 E
55 R
56 E
57 E
58 L
59 R
60 E
61 R
62 E
63 L
64 L
65 E
<tool cost>
1 62
2 59
3 43
4 82
5 48
6 16
<salary per hour>
1 10
2 7
3 10
4 10
5 10
6 9
7 5
8 3
9 8
10 7
11 7
12 8
13 7
14 3
15 8
16 2
17 4
18 8
19 8
20 5
21 9
22 4
23 1
24 8
25 5
26 7
27 6
28 9
29 9
30 8
31 6
32 9
33 6
34 7
35 7
36 6
37 4
38 5
39 3
40 7
41 4
42 7
43 2
44 1
45 8
46 9
47 4
48 1
49 9
50 9
51 6
52 4
53 9
54 6
55 8
56 1
57 4
58 3
59 4
60 10
61 3
62 9
63 3
64 3
65 2
<set of tools>
1,3
1,5
2,4
3,2
3,3
4,6
6,1
6,3
7,1
8,2
9,2
9,5
10,4
11,1
11,4
12,1
14,3
15,3
15,5
15,6
16,3
16,4
17,1
17,3
18,4
20,1
21,1
22,1
22,2
23,3
25,6
26,4
27,5
28,4
29,2
29,6
31,3
31,6
32,5
32,6
34,1
36,3
36,4
38,5
39,3
39,6
44,4
45,1
45,2
45,6
47,6
48,1
49,2
51,3
53,5
53,6
54,4
55,2
55,4
56,1
56,2
57,2
57,3
57,4
58,4
59,4
60,2
<precedence relations>
1,3
2,3
3,4
3,23
4,5
4,6
4,7
4,9
4,11
4,12
4,25
4,26
4,27
4,41
4,45
4,49
5,14
6,14
7,8
8,14
9,10
10,14
11,14
12,14
13,14
14,15
14,18
14,20
14,22
15,16
16,17
17,31
18,19
19,21
20,21
21,31
22,31
23,24
24,31
25,31
26,31
27,28
28,50
29,50
30,50
31,32
31,36
31,51
31,52
31,53
31,54
31,55
31,56
31,58
31,59
31,60
31,61
31,62
32,33
33,34
34,35
35,50
36,37
37,38
38,39
38,40
39,50
40,50
41,42
42,43
43,62
44,46
45,46
46,47
47,48
48,50
49,50
51,65
52,65
53,65
54,65
55,65
56,57
57,65
58,65
59,65
60,65
61,65
62,63
63,64
64,65
<end>
